Персонаж,Частота
Мотря,431
Лаврін,327
Кайдашиха,316
Карпо,280
Кайдаш,253
Мелашка,163
Палажка,44
Параска,19
Балаш,16
Карпе,14
Балашиха,12
Берко,11
Довбиш,9
Миколай,9
Карп,8
Кайдашиса,7
Довбишка,6
Варвара,6
Грицько,6
Маруся,5
Кайдашисі,5
Мотре,5
Мотрин,5
Лавріна,5
Палажко,5
Мотрея,4
Кайдаших,4
Гавриїл,4
Лаврінова,4
Омелько,3
Семен,3
Кайдашенко,3
Мелашчина,3
Лаврінів,3
Іван,2
Олена,2
Ганна,2
Карпа,2
Довбишівна,2
Кайдаша,2
Борщ,2
Мотрей,2
Biн,2
Халяндра,2
Семигора,2
Лаврі,2
Мелашчин,2
Петро,2
Солов'Їха,2
Лавра,2
Софія,2
Лавро,2
Гришиха,2
Христос,2
Деркач,2
Сура,2
Нечуй,1
Левицький,1
Омелька,1
Хівря,1
Химка,1
Одарка,1
Ходаківна,1
Хотина,1
Корчаківна,1
Лавр,1
Паламар,1
Кум,1
Пилипівка,1
Кума,1
Глянь,1
Лавріи,1
Бієвець,1
Охрім,1
Катрі,1
Катря,1
Балашівна,1
Балашис,1
Гуля,1
Бієвці,1
Кайдащиха,1
Мелашко,1
Моргуля,1
Западинка,1
Кайдашнха,1
Головчиха,1
Самсон,1
Марус,1
Фрол,1
Ірод,1
Черниця,1
Феодосій,1
Андрій,1
Флор,1
Кайдашити,1
Мелащина,1
Бір,1
Мелашца,1
Параскева,1
П'Ятниця,1
Барбос,1
Кайдашів,1
Омельк,1
Марина,1
Агапіт,1
Алипія,1
Миколати,1
Марка,1
Сарандара,1
Ісус,1
Вана,1
Кайдашис,1
Лаарін,1
Кайдаженко,1
Голубчик,1
Карн,1
Мотруня,1
Мигря,1
Меланка,1
Василь,1
Груша,1
Груш,1
Рось,1
